"cleabs","nature","usage_1","usage_2","construction_legere","etat_de_l_objet","gcms_detruit","gcms_date_creation","gcms_date_modification","gcms_date_destruction","date_d_apparition","date_de_confirmation","diffusion","source_detaillee","sources","identifiants_sources","methode_d_acquisition_planimetrique","precision_planimetrique","methode_d_acquisition_altimetrique","precision_altimetrique","complement","nombre_de_logements","nombre_d_etages","materiaux_des_murs","materiaux_de_la_toiture","hauteur","altitude_minimale_sol","altitude_minimale_toit","altitude_maximale_toit","altitude_maximale_construction","altitude_maximale_sol","nom","commentaire_centralise","commentaire_collecteur","origine_du_batiment","source_restitution","metadonnees_unification","metadonnees_appariement_ff","appariement_fichiers_fonciers","identifiant_parcellaire","liens_vers_adresse","liens_vers_evolution","gcms_numrec","gcms_territoire","gcms_fingerprint","gcvs_nom_lot","exception_legitime","geometrie","gcvs_empreinte"
BATIMENT0000000000163445,Indifférenciée,Indifférencié,,false,En service,true,2006-05-22 13:18:11.780,2007-09-04 07:39:01.349,2010-07-09 09:47:31.611,,,true,"",,,BDTopo,2.5,BDTopo,1.5,"",,,,,5.20,56.90,,,,,"",,,Imagerie aérienne,,"","",,,,"",4897923,FXX,"0","75 Paris","","MULTIPOLYGON Z(((656147.4 6861558.8 62.1, 656153.9 6861542.1 62.1, 656171.4 6861546.7 62.1, 656170.8 6861548.2 62.1, 656175.7 6861549.4 62.1, 656173.7 6861556.4 62.1, 656170.1 6861568.8 62.1, 656147.4 6861558.8 62.1)))","LINESTRING (656147.4 6861542.1, 656175.7 6861568.8)"
BATIMENT0000000000163455,Indifférenciée,Indifférencié,,false,En service,true,2006-05-22 13:18:11.780,2007-09-04 07:39:01.349,2010-01-18 15:52:48.766,,,true,"",,,BDTopo,2.5,BDTopo,1.5,"",,,,,24.50,56.90,,,,,"",,,Imagerie aérienne,,"","",,,,"",4105378,FXX,"0","75 Paris","","MULTIPOLYGON Z(((656108.1 6861593.1 73.4, 656111.2 6861585.8 73, 656125.6 6861594.5 80.5, 656128 6861591 80.4, 656150.9 6861604.5 80.3, 656155.6 6861606.3 70.1, 656159.1 6861601 70.1, 656163.3 6861603.1 71.8, 656164.7 6861604.2 76, 656175.9 6861610.4 76.1, 656171.5 6861619 76.1, 656160.5 6861612.3 75.8, 656155.4 6861609.5 72.9, 656151.9 6861615.8 72.8, 656155.8 6861619.2 75.2, 656166.9 6861625.4 75.1, 656163.2 6861633.7 75.1, 656152.2 6861627.8 74.9, 656148.7 6861625.6 73.3, 656145.5 6861623.7 72.2, 656148.4 6861617.6 71.8, 656144.5 6861615.3 81.3, 656122.4 6861602.7 81.4, 656108.1 6861593.1 73.4)))","LINESTRING (656108.1 6861585.8, 656175.9 6861633.7)"
BATIMENT0000000000163486,Indifférenciée,Indifférencié,,false,En service,true,2006-05-22 13:18:11.780,2007-09-04 07:39:01.349,2010-07-09 09:47:31.611,,,true,"",,,BDTopo,2.5,BDTopo,1.5,"",,,,,28.60,56.90,,,,,"",,,Imagerie aérienne,,"","",,,,"",4897923,FXX,"0","75 Paris","","MULTIPOLYGON Z(((656213 6861587.3 83.9, 656208.1 6861598.1 85.5, 656207 6861601.1 83.8, 656141.8 6861573.4 83.8, 656142.9 6861569.8 85.3, 656146.1 6861561.6 84.6, 656147.4 6861558.8 82, 656170.1 6861568.8 83, 656213 6861587.3 83.9)))","LINESTRING (656141.8 6861558.8, 656213 6861601.1)"
BATIMENT0000000000163501,Indifférenciée,Indifférencié,,false,En service,true,2006-05-22 13:18:11.780,2007-09-04 07:39:01.349,2010-01-18 15:52:48.766,,,true,"",,,Calculé,20.0,Z corrigé,2.5,"",,,,,34.80,56.90,,,,,"",,,Autre,,"","",,,,"",4105378,FXX,"0","75 Paris","","MULTIPOLYGON Z(((656126.1 6861535.4 67.7, 656126.5 6861533.6 67.7, 656134.4 6861536 68.7, 656136.1 6861532.5 68.7, 656153.7 6861538.6 69.3, 656156 6861533.3 69.5, 656173.5 6861538.5 69.8, 656173.3 6861543.6 77.4, 656190.8 6861546.5 91.7, 656188.9 6861552.8 78, 656186.5 6861560.3 61.6, 656181.4 6861558.8 61.6, 656182.7 6861551.6 79.1, 656175.7 6861549.4 79.1, 656170.8 6861548.2 78.2, 656171.4 6861546.7 78.8, 656153.9 6861542.1 69.7, 656147.4 6861558.8 69.7, 656146.1 6861561.6 69.7, 656142.9 6861569.8 69.7, 656141.8 6861573.4 69.7, 656207 6861601.1 69.7, 656212.2 6861603.4 59.1, 656215.8 6861605.4 59.1, 656214.5 6861610 59.1, 656210.6 6861608.4 59.1, 656208.7 6861612.7 59.1, 656217.6 6861618 59.1, 656213.5 6861624.5 59.1, 656203.8 6861619.9 59.1, 656201.9 6861626.2 59.1, 656191.3 6861618.9 59.1, 656174.1 6861648.1 59.1, 656158 6861641.1 59.1, 656153.4 6861650.3 59.1, 656142.9 6861643.9 59.1, 656146.4 6861634.4 59.1, 656142.2 6861630.7 59.1, 656145.5 6861623.7 59.1, 656148.7 6861625.6 59.1, 656152.2 6861627.8 59.1, 656163.2 6861633.7 59.1, 656166.9 6861625.4 59.1, 656155.8 6861619.2 59.1, 656151.9 6861615.8 59.1, 656155.4 6861609.5 59.1, 656160.5 6861612.3 59.1, 656171.5 6861619 59.1, 656175.9 6861610.4 59.1, 656164.7 6861604.2 59.1, 656163.3 6861603.1 59.1, 656159.1 6861601 59.1, 656161 6861598.1 59.1, 656162.4 6861595.3 59.1, 656140.5 6861583.5 62.6, 656139.2 6861587.2 62.6, 656131.1 6861585.4 73.5, 656127.3 6861583.5 73.4, 656119.7 6861581.1 73.5, 656120.4 6861579.7 73.5, 656116.6 6861577 73, 656120.9 6861567.5 73.5, 656123.5 6861568 72.6, 656124 6861564.9 69.7, 656121.9 6861564.5 69.7, 656128.3 6861544.8 68.9, 656124.5 6861543.3 67.7, 656124.7 6861539.6 67.7, 656121.3 6861539.6 67.1, 656122.8 6861535 67.2, 656126.1 6861535.4 67.7)))","LINESTRING (656116.6 6861532.5, 656217.6 6861650.3)"
BATIMENT0000000000163618,Indifférenciée,Indifférencié,,false,En service,true,2006-05-22 13:18:11.780,2007-09-04 07:38:37.017,2010-07-09 09:40:19.931,,,true,"",,,BDTopo,2.5,BDTopo,1.5,"",,,,,5.00,36.00,,,,,"",,,Imagerie aérienne,,"","",,,,"",4897874,FXX,"0","75 Paris","","MULTIPOLYGON Z(((653779.7 6861611.1 40.3, 653789.3 6861627.7 40.3, 653784.1 6861629.3 40.3, 653776.3 6861614 41, 653779.7 6861611.1 40.3)))","LINESTRING (653776.3 6861611.1, 653789.3 6861629.3)"
BATIMENT0000000000163623,Indifférenciée,Indifférencié,,false,En service,true,2006-05-22 13:18:11.780,2007-09-04 07:38:37.017,2010-07-09 09:40:19.931,,,true,"",,,BDTopo,2.5,BDTopo,1.5,"",,,,,17.20,36.00,,,,,"",,,Imagerie aérienne,,"","",,,,"",4897874,FXX,"0","75 Paris","","MULTIPOLYGON Z(((653789.3 6861627.7 49.8, 653779.7 6861611.1 51.1, 653783.1 6861599.5 53.2, 653785.7 6861599.8 53.2, 653788.1 6861600.2 53.2, 653791 6861600.4 53.2, 653793.7 6861600.4 53.2, 653796.7 6861600.3 53.2, 653800.5 6861599.8 53.2, 653803.9 6861599 53.2, 653804.6 6861601.3 53.2, 653806.6 6861601 52.5, 653813.1 6861599.1 51.4, 653790.5 6861633.1 49.9, 653789.3 6861627.7 49.8)))","LINESTRING (653779.7 6861599, 653813.1 6861633.1)"
BATIMENT0000000000163626,Indifférenciée,Indifférencié,,false,En service,true,2006-05-22 13:18:11.780,2007-09-04 07:38:37.017,2010-07-09 09:40:19.931,,,true,"",,,BDTopo,2.5,BDTopo,1.5,"",,,,,19.90,35.40,,,,,"",,,Imagerie aérienne,,"","",,,,"",4897874,FXX,"0","75 Paris","","MULTIPOLYGON Z(((653766.4 6861585.7 55.3, 653770.2 6861588.4 55.3, 653775.7 6861591.6 55.3, 653779.3 6861593 55.3, 653777.5 6861597.7 55.3, 653774.9 6861603.7 44.5, 653774.3 6861604.9 42.4, 653771.3 6861612.4 38.3, 653765.8 6861605.2 38.3, 653760.9 6861598.4 38.3, 653763.9 6861590.2 55.3, 653766.4 6861585.7 55.3)))","LINESTRING (653760.9 6861585.7, 653779.3 6861612.4)"
BATIMENT0000000000164065,Indifférenciée,Indifférencié,,false,En service,true,2006-05-22 13:18:11.780,2007-09-04 07:39:01.349,2010-01-18 15:52:48.766,,,true,"",,,Calculé,20.0,Z corrigé,2.5,"",,,,,34.90,56.90,,,,,"",,,Autre,,"","",,,,"",4105378,FXX,"0","75 Paris","","MULTIPOLYGON Z(((656207 6861601.1 69.7, 656208.1 6861598.1 62.3, 656213 6861587.3 62.3, 656215.5 6861575.5 62.3, 656198.4 6861571.4 62.3, 656200.5 6861564.7 66.7, 656201.2 6861560.7 67.7, 656203 6861549.3 91.8, 656190.8 6861546.5 91.7, 656173.3 6861543.6 77.4, 656173.5 6861538.5 69.8, 656156 6861533.3 69.5, 656153.7 6861538.6 69.3, 656136.1 6861532.5 68.7, 656134.4 6861536 68.7, 656126.5 6861533.6 67.7, 656126.1 6861535.4 67.7, 656122.8 6861535 67.2, 656125 6861528.2 59.1, 656112.5 6861525.4 59.1, 656117.3 6861513.4 59.1, 656142.2 6861518.7 59.1, 656159.7 6861522.8 59.1, 656175.2 6861527.6 59.1, 656174.1 6861533.6 59.1, 656180 6861534.8 59.1, 656182 6861526.3 59.1, 656221.1 6861535.4 59.1, 656223.3 6861528 59.1, 656226.8 6861528.5 59.1, 656239.9 6861532.1 59.1, 656247.9 6861534.3 59.1, 656245.3 6861545.1 59.1, 656250.9 6861547.1 59.1, 656247.2 6861553.7 59.1, 656241.3 6861552.3 59.1, 656239 6861560.4 59.1, 656242 6861561 59.1, 656237.8 6861566.6 59.1, 656227.3 6861563.9 59.1, 656224.3 6861573.4 59.1, 656233 6861578.5 59.1, 656228.3 6861584.4 59.1, 656221.1 6861597 59.1, 656215.9 6861595.4 59.1, 656215 6861597.6 59.1, 656212.2 6861603.4 59.1, 656207 6861601.1 69.7)))","LINESTRING (656112.5 6861513.4, 656250.9 6861603.4)"
BATIMENT0000000000164066,Indifférenciée,Indifférencié,,false,En service,true,2006-05-22 13:18:11.780,2007-09-04 07:39:01.349,2010-07-09 09:47:31.611,,,true,"",,,BDTopo,2.5,BDTopo,1.5,"",,,,,6.60,56.90,,,,,"",,,Imagerie aérienne,,"","",,,,"",4897923,FXX,"0","75 Paris","","MULTIPOLYGON Z(((656063.5 6861565.6 60.7, 656065 6861562.8 60.7, 656061.5 6861561 60.7, 656065.4 6861548.1 60.7, 656068.8 6861549.1 60.7, 656070 6861546 60.7, 656072.5 6861546.7 60.7, 656081.6 6861517.6 60.7, 656083.3 6861514.2 60.7, 656077.1 6861511.1 60.7, 656082.3 6861497.8 60.7, 656088.9 6861499.2 60.7, 656088 6861504 60.7, 656089.7 6861504.3 60.7, 656089.2 6861505.8 60.7, 656090.6 6861506.1 60.7, 656091.4 6861504.5 60.7, 656092.5 6861504.4 60.7, 656094.5 6861500.1 60.7, 656097.2 6861500.9 60.7, 656096.5 6861503.8 60.7, 656091.4 6861520.7 60, 656112.5 6861525.4 60, 656104.2 6861551 60, 656116.6 6861554.2 60.5, 656121.3 6861539.6 60.5, 656124.7 6861539.6 60.5, 656124.5 6861543.3 60.5, 656128.3 6861544.8 60.5, 656121.9 6861564.5 60.5, 656124 6861564.9 60.5, 656123.5 6861568 60.5, 656120.9 6861567.5 60.5, 656116.6 6861577 60.5, 656111.2 6861585.8 62.1, 656108.1 6861593.1 62.1, 656102.4 6861603 62.1, 656105.9 6861604.8 61, 656101.5 6861612.9 60.9, 656097.5 6861611 61.1, 656098.2 6861609.5 62.2, 656094.2 6861607.3 61.4, 656091.4 6861605.3 60, 656109.1 6861568.6 63, 656106.6 6861567.6 62.9, 656089.2 6861602.1 60.8, 656084.4 6861599.9 60.8, 656102.1 6861565.6 63.4, 656104.7 6861560.7 63.5, 656101.5 6861559.6 63.4, 656091.8 6861579.1 60.7, 656078.3 6861572.2 60.7, 656085.2 6861559 60.7, 656083.1 6861557.4 60.7, 656085.7 6861551.9 60.7, 656080.6 6861550.1 60.7, 656074.7 6861563 60.7, 656076.4 6861563.5 60.7, 656073.7 6861569.7 60.7, 656063.5 6861565.6 60.7)))","LINESTRING (656061.5 6861497.8, 656128.3 6861612.9)"
BATIMENT0000000000164079,Indifférenciée,Indifférencié,,false,En service,true,2006-05-22 13:18:11.780,2007-09-04 07:39:01.349,2010-07-09 09:47:31.611,,,true,"",,,BDTopo,2.5,BDTopo,1.5,"",,,,,20.80,56.90,,,,,"",,,Imagerie aérienne,,"","",,,,"",4897923,FXX,"0","75 Paris","","MULTIPOLYGON Z(((656223.3 6861528 69.5, 656221.1 6861535.4 70.1, 656182 6861526.3 71.3, 656180 6861534.8 69.3, 656174.1 6861533.6 69.5, 656175.2 6861527.6 71.1, 656159.7 6861522.8 74.5, 656142.2 6861518.7 74.5, 656117.3 6861513.4 68.4, 656117.7 6861510.9 68.4, 656113.5 6861508.8 68.4, 656115.3 6861501 68.4, 656121.4 6861502.2 77.7, 656144.2 6861507.7 76.9, 656163.8 6861513.1 75, 656178.4 6861516.7 73.3, 656223.3 6861528 69.5)))","LINESTRING (656113.5 6861501, 656223.3 6861535.4)"
