"cleabs","identifiant_rnb","liens_vers_batiment","informations_rnb","geometrie_enveloppe","nom","commentaire_centralise","commentaire_collecteur","gcms_detruit","gcms_date_creation","gcms_date_modification","gcms_date_destruction","diffusion","gcms_numrec","gcms_territoire","gcms_fingerprint","exception_legitime","gcvs_empreinte","traitement","gcvs_nom_lot","geometrie",status,event_type,parent_buildings
BAT_RNB_0000002444588922,"9CBBYMAC62TX",BATIMENT0000000312610436,"{""ext_ids"": [{""id"": ""bdnb-bc-J5KK-ZGAR-2PS3"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T22:13:14.919754+00:00"", ""source_version"": ""2023_01""}, {""id"": ""BATIMENT0000000312610436"", ""source"": ""bdtopo"", ""created_at"": ""2023-12-21T22:52:53.100986+00:00"", ""source_version"": ""bdtopo_2023_09""}], ""created_at"": ""2023-12-12T17:55:19.502261+01:00"", ""updated_at"": ""2023-12-22T19:29:52.441788+01:00"", ""identifiants_ban"": [""45004_1645_00079""]}","MULTIPOLYGON (((684086.4 6764191.5, 684081.1 6764179.799999998, 684089.4 6764175.8, 684094.9 6764187.799999999, 684086.4 6764191.5)))",,,,false,2024-04-26 16:26:28.070,2024-06-13 13:44:54.040,,true,47291703,FXX,bab4f37e99a4c124910bd75714cb8d0a,,"LINESTRING (684088 6764183.8, 684088 6764183.8)",Croisement sémantique,RNB_dep_45,POINT (684088 6764183.8),,,
BAT_RNB_0000002444588925,"9CBEW6338EPA",BATIMENT0000000208785043,"{""ext_ids"": [{""id"": ""bdnb-bc-8944-WLRC-CUQR"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T22:13:06.417439+00:00"", ""source_version"": ""2023_01""}, {""id"": ""BATIMENT0000000208785043"", ""source"": ""bdtopo"", ""created_at"": ""2023-12-21T22:47:17.598100+00:00"", ""source_version"": ""bdtopo_2023_09""}], ""created_at"": ""2023-12-13T14:22:16.856881+01:00"", ""updated_at"": ""2023-12-22T12:09:31.288212+01:00"", ""identifiants_ban"": [""45100_0040_00003""]}","MULTIPOLYGON (((624433.7 6756154.699999998, 624433.4 6756153.699999999, 624430.8 6756147.200000001, 624445.2 6756141.900000003, 624448 6756149.3, 624433.7 6756154.699999998)))",,,,false,2024-04-26 16:26:28.070,2024-06-13 13:44:54.040,,true,47291703,FXX,"8ac858e89b596fc1ca063f00717cb116",,"LINESTRING (624439.4 6756148.2, 624439.4 6756148.2)",Croisement sémantique,RNB_dep_45,POINT (624439.4 6756148.2),,,
BAT_RNB_0000002444588926,"9CBJET9XEA36",BATIMENT0000000209791108,"{""ext_ids"": [{""id"": ""bdnb-bc-XBY2-R91W-JRSX"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T22:13:26.409430+00:00"", ""source_version"": ""2023_01""}, {""id"": ""BATIMENT0000000209791108"", ""source"": ""bdtopo"", ""created_at"": ""2023-12-21T22:49:00.335830+00:00"", ""source_version"": ""bdtopo_2023_09""}], ""created_at"": ""2023-12-13T13:52:14.148262+01:00"", ""updated_at"": ""2023-12-26T15:21:36.048559+01:00"", ""identifiants_ban"": [""45234_1660_00018""]}","MULTIPOLYGON (((618031.5 6754800.799999998, 618029 6754799.999999999, 618029.3 6754795.799999998, 618032.9 6754797.000000001, 618033.2 6754796.1, 618036.5 6754797.1, 618036.8 6754792.499999999, 618037.3 6754785.8, 618037.5 6754785.8, 618037.7 6754782.100000001, 618040.4 6754779.700000001, 618042.3 6754779.800000002, 618042.2 6754781.499999999, 618041.3 6754792.9, 618040.9 6754798.3, 618040.5 6754803.599999997, 618040.3000000002 6754803.500000001, 618031.5 6754800.799999998)))",,,,false,2024-04-26 16:26:28.070,2024-06-13 13:44:54.040,,true,47291703,FXX,b6bb2a788031cc390ee8a8d1fb314474,,"LINESTRING (618039.3 6754789.1, 618039.3 6754789.1)",Croisement sémantique,RNB_dep_45,POINT (618039.3 6754789.1),,,
BAT_RNB_0000002444588927,"9CCPGXN1B5CG",BATIMENT0000000212344005,"{""ext_ids"": [{""id"": ""bdnb-bc-26L1-WA6E-V94K"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T22:13:01.203649+00:00"", ""source_version"": ""2023_01""}, {""id"": ""BATIMENT0000000212344005"", ""source"": ""bdtopo"", ""created_at"": ""2023-12-21T22:51:57.797542+00:00"", ""source_version"": ""bdtopo_2023_09""}], ""created_at"": ""2023-12-12T21:58:20.014631+01:00"", ""updated_at"": ""2023-12-26T19:02:00.877292+01:00"", ""identifiants_ban"": [""45104_0223_00003""]}","MULTIPOLYGON (((677810.2 6771391.700000001, 677811.4 6771393.3, 677801.1 6771401.4, 677804.8 6771406.000000001, 677800.1 6771409.8, 677796.1 6771404.999999999, 677797.3 6771403.9, 677796.8 6771403.000000001, 677796.3 6771402.300000002, 677810.2 6771391.700000001)))",,,,false,2024-04-26 16:26:28.070,2024-06-13 13:44:54.040,,true,47291703,FXX,ed39da7e8475815d9d22258e1943bc48,,"LINESTRING (677804.5 6771397.4, 677804.5 6771397.4)",Croisement sémantique,RNB_dep_45,POINT (677804.5 6771397.4),,,
BAT_RNB_0000002444588928,"9CCQJ2SQWTJ5",BATIMENT0000000316789088,"{""ext_ids"": [{""id"": ""bdnb-bc-EBNW-UZB5-TNS4"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T22:13:11.645810+00:00"", ""source_version"": ""2023_01""}, {""id"": ""BATIMENT0000000316789088"", ""source"": ""bdtopo"", ""created_at"": ""2023-12-21T23:00:45.490655+00:00"", ""source_version"": ""bdtopo_2023_09""}], ""created_at"": ""2023-12-12T09:14:04.731833+01:00"", ""updated_at"": ""2023-12-24T12:50:59.970816+01:00"", ""identifiants_ban"": [""45229-B043-5044""]}","MULTIPOLYGON (((682102.5 6748206.899999999, 682110.9 6748203.300000002, 682107 6748188.200000001, 682094.4 6748191.900000002, 682093.8 6748204.9, 682100.9 6748202.8, 682102.5 6748206.899999999)))",,,,false,2024-04-26 16:26:28.070,2024-06-13 13:44:54.040,,true,47291703,FXX,da0826a8699aa9d1efbbc308c19a6305,,"LINESTRING (682101.8 6748197.3, 682101.8 6748197.3)",Croisement sémantique,RNB_dep_45,POINT (682101.8 6748197.3),,,
BAT_RNB_0000002444588930,"9CD5SV226HQZ",BATIMENT0000000213602085/BATIMENT0000000213602091,"{""ext_ids"": [{""id"": ""bdnb-bc-H613-7LQ9-AZKQ"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T22:13:14.080680+00:00"", ""source_version"": ""2023_01""}, {""id"": ""BATIMENT0000000213602085"", ""source"": ""bdtopo"", ""created_at"": ""2023-12-21T22:52:49.585336+00:00"", ""source_version"": ""bdtopo_2023_09""}], ""created_at"": ""2023-12-11T07:29:03.457589+01:00"", ""updated_at"": ""2023-12-27T01:39:05.889462+01:00"", ""identifiants_ban"": [""45155_0120_00070""]}","MULTIPOLYGON (((671868.4 6731862.900000002, 671870.1 6731865.499999999, 671870.5 6731866.200000002, 671870.6 6731866.3, 671871.3 6731865.800000001, 671872.6 6731864.999999999, 671873.2 6731864.6, 671874.6 6731863.700000001, 671876.1 6731866.200000002, 671877.5 6731868.7, 671873.8 6731871.500000001, 671876.3 6731875.2, 671873 6731877.499999999, 671872 6731876.000000001, 671863.5 6731863.2, 671857.7 6731854.4, 671861.5 6731852.1000000015, 671868.2999999999 6731862.700000001, 671868.4 6731862.900000002)))",,,,false,2024-04-26 16:26:28.070,2024-06-13 13:44:54.040,,true,47291703,FXX,"88aa9d1361dacde534fbfe4f797b10c6",,"LINESTRING (671867.1 6731864.8, 671867.1 6731864.8)",Croisement sémantique/Batiments BDTOPO balcon,RNB_dep_45,POINT (671867.1 6731864.8),,,
BAT_RNB_0000002466797919,XQM2SE548PVR,BATIMENT0000000289910078,"{""ext_ids"": [{""id"": ""bdnb-bc-KR1J-7KTR-Z14G"", ""source"": ""bdnb"", ""created_at"": ""2024-02-06T14:23:36.566062+00:00"", ""source_version"": ""2023_01""}, {""id"": ""BATIMENT0000000289910078"", ""source"": ""bdtopo"", ""created_at"": ""2024-02-08T09:58:33.802396+00:00"", ""source_version"": ""bdtopo_2023_09""}], ""created_at"": ""2024-02-06T21:10:59.896853+01:00"", ""updated_at"": ""2024-02-08T18:49:35.888122+01:00"", ""identifiants_ban"": [""59641_0131_01049""]}","MULTIPOLYGON (((663948.3 7096576.999999999, 663952.6 7096579.499999998, 663955.1 7096575.100000001, 663950.8 7096572.599999999, 663948.3 7096576.999999999)))",,,,false,2024-04-26 17:08:43.839,2024-06-13 13:44:16.704,,true,47291693,FXX,"6e0f1fa37c96819f300700895fe12a7f",,"LINESTRING (663951.7 7096576, 663951.7 7096576)",Croisement sémantique,RNB_dep_59,POINT (663951.7 7096576),,,
BAT_RNB_0000002466798383,Y1BSK256EZ6T,BATIMENT0000000291174013,"{""ext_ids"": [{""id"": ""bdnb-bc-JFK1-3YCQ-QSUB"", ""source"": ""bdnb"", ""created_at"": ""2024-02-06T14:23:33.168059+00:00"", ""source_version"": ""2023_01""}, {""id"": ""BATIMENT0000000291174013"", ""source"": ""bdtopo"", ""created_at"": ""2024-02-08T10:03:29.688412+00:00"", ""source_version"": ""bdtopo_2023_09""}], ""created_at"": ""2024-02-07T01:55:45.63934+01:00"", ""updated_at"": ""2024-02-08T20:39:15.535213+01:00"", ""identifiants_ban"": [""59391_0320_00010""]}","MULTIPOLYGON (((721679.6 7023226.400000001, 721681.9 7023223.400000001, 721675.5 7023219, 721677.6 7023216.000000001, 721685 7023220.699999999, 721687.5 7023217.4, 721690 7023212.2, 721691.8 7023214.100000001, 721686 7023231.400000002, 721679.6 7023226.400000001)))",,,,false,2024-04-26 17:08:43.839,2024-06-13 13:44:16.704,,true,47291693,FXX,abe3210f7316a8598012cb17a8315eea,,"LINESTRING (721684.5 7023222.1, 721684.5 7023222.1)",Croisement sémantique,RNB_dep_59,POINT (721684.5 7023222.1),,,
BAT_RNB_0000002440291994,S3A36P4HEFWR,BATIMENT0000000323904009,"{""ext_ids"": [{""id"": ""bdnb-bc-9LMB-L39Z-ZDZJ"", ""source"": ""bdnb"", ""created_at"": ""2023-12-09T20:29:14.070848+00:00"", ""source_version"": ""2023_01""}], ""created_at"": ""2023-12-13T05:12:12.744375+01:00"", ""updated_at"": ""2023-12-13T05:12:12.744397+01:00"", ""identifiants_ban"": [""36016_0175_00010""]}","MULTIPOLYGON (((559999.8310879068 6603957.159111106, 559999.6882299634 6603961.304303899, 560003.7 6603961.5, 560003.8 6603956.2, 559999.8643116748 6603956.036012986, 559999.8310879068 6603957.159111106)))",,,,false,2024-04-26 15:53:23.836,2024-06-13 13:45:40.782,,true,47291704,FXX,"9d8bde8d150ad963c86c4ab37a15d787",,"LINESTRING (560001.8 6603959.2, 560001.8 6603959.2)",Batiments semblables nbpt diff,RNB_dep_36,POINT (560001.8 6603959.2),,,
BAT_RNB_0000002466798410,Y1WKJFD8GC1P,BATIMENT0000000288895051/BATIMENT0000000288895050,"{""ext_ids"": [{""id"": ""bdnb-bc-MX7K-LVHQ-T3SL"", ""source"": ""bdnb"", ""created_at"": ""2024-02-06T14:23:42.270386+00:00"", ""source_version"": ""2023_01""}, {""id"": ""BATIMENT0000000288895050"", ""source"": ""bdtopo"", ""created_at"": ""2024-02-08T09:52:48.217708+00:00"", ""source_version"": ""bdtopo_2023_09""}], ""created_at"": ""2024-02-07T13:52:28.423116+01:00"", ""updated_at"": ""2024-02-08T20:38:14.094869+01:00"", ""identifiants_ban"": [""59497_0020_00072""]}","MULTIPOLYGON (((655085.7 7070667.5, 655083.7 7070670, 655082.1 7070668.800000002, 655076.7 7070675.4, 655083.2 7070680.6, 655086.2 7070676.499999999, 655088.5 7070673.9, 655090.3 7070675.4, 655099.4 7070682.499999999, 655100.3 7070681.5, 655101.3 7070680.2, 655098.9 7070678.3, 655085.7 7070667.5)))",,,,false,2024-04-26 17:08:43.839,2024-06-13 13:44:16.704,,true,47291693,FXX,fc1fc27078701adda9fb93ca59658d9a,,"LINESTRING (655082.6 7070674.7, 655082.6 7070674.7)",Batiments BDTOPO balcon/Croisement sémantique,RNB_dep_59,POINT (655082.6 7070674.7),,,
